trade_id,side,level_type,level_row,level_detected_at,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,holding_minutes
1,long,support,178,2025-03-06 17:30:00,2025-04-04 07:15:00,2025-04-04 07:59:00,65.59,65.29,66.57,65.29,stop_loss,-0.3,44
2,long,support,289,2025-03-11 01:30:00,2025-04-04 08:00:00,2025-04-04 11:32:00,65.29,60.81,66.57,60.81,stop_loss,-4.48,212
3,long,support,157,2025-04-04 08:00:00,2025-04-04 14:46:00,2025-04-04 14:51:00,60.81,60.45,66.57,60.45,stop_loss,-0.36,5
4,short,resistance,173,2025-04-04 16:00:00,2025-04-04 19:48:00,2025-04-06 22:00:00,62.92,60.81,60.81,66.57,take_profit,2.11,3012
5,long,support,177,2025-04-06 18:30:00,2025-04-07 07:08:00,2025-04-07 07:09:00,59.55,59.35,62.92,59.35,stop_loss,-0.2,1
6,long,support,163,2025-04-04 11:00:00,2025-04-07 11:02:00,2025-04-07 14:11:00,60.45,62.92,62.92,59.55,take_profit,2.47,189
7,short,resistance,290,2025-04-09 04:00:00,2025-04-09 07:37:00,2025-04-09 10:19:00,58.27,56.76,56.76,62.92,take_profit,1.51,162
8,long,support,285,2025-04-09 01:30:00,2025-04-09 10:19:00,2025-04-09 11:46:00,56.76,55.12,58.06,55.12,stop_loss,-1.64,87
9,short,resistance,302,2025-04-09 10:00:00,2025-04-09 13:43:00,2025-04-09 14:26:00,58.06,56.76,56.76,58.27,take_profit,1.3,43
10,short,resistance,336,2025-04-10 03:30:00,2025-04-10 07:02:00,2025-04-10 07:16:00,62.28,61.59,61.59,62.92,take_profit,0.69,14
11,long,support,324,2025-04-09 21:30:00,2025-04-10 07:16:00,2025-04-10 07:41:00,61.59,60.81,62.28,60.81,stop_loss,-0.78,25
12,long,support,340,2025-04-10 05:30:00,2025-04-10 12:58:00,2025-04-10 13:37:00,60.13,59.55,62.28,59.55,stop_loss,-0.58,39
13,short,resistance,404,2025-04-11 14:00:00,2025-04-11 17:54:00,2025-04-11 18:04:00,61.87,61.59,61.59,62.28,take_profit,0.28,10
14,short,resistance,428,2025-04-14 02:30:00,2025-04-14 07:37:00,2025-04-14 07:44:00,61.75,61.87,61.59,61.87,stop_loss,-0.12,7
15,short,resistance,438,2025-04-14 07:30:00,2025-04-14 11:13:00,2025-04-14 14:01:00,62.68,61.59,61.59,62.92,take_profit,1.09,168
16,short,resistance,455,2025-04-14 16:00:00,2025-04-14 19:42:00,2025-04-14 19:44:00,61.7,61.75,61.59,61.75,stop_loss,-0.05,2
17,short,resistance,463,2025-04-14 20:30:00,2025-04-15 07:00:00,2025-04-15 08:13:00,61.87,61.59,61.59,62.28,take_profit,0.28,73
18,long,support,469,2025-04-14 23:30:00,2025-04-15 08:33:00,2025-04-15 13:49:00,61.54,61.7,61.7,60.81,take_profit,0.16,316
19,short,resistance,491,2025-04-15 10:30:00,2025-04-15 14:13:00,2025-04-15 14:14:00,61.83,61.87,61.59,61.87,stop_loss,-0.04,1
20,long,support,516,2025-04-15 23:30:00,2025-04-16 07:38:00,2025-04-16 08:12:00,61.09,60.81,61.7,60.81,stop_loss,-0.28,34
21,short,resistance,527,2025-04-16 05:00:00,2025-04-16 08:43:00,2025-04-16 12:46:00,62.17,62.28,61.59,62.28,stop_loss,-0.11,243
22,short,resistance,568,2025-04-17 02:00:00,2025-04-17 12:26:00,2025-04-23 14:16:00,63.51,61.59,61.59,66.57,take_profit,1.92,8750
23,long,support,623,2025-04-21 06:00:00,2025-04-23 14:19:00,2025-04-23 14:21:00,62.07,62.17,62.17,61.59,take_profit,0.1,2
24,long,support,658,2025-04-22 00:00:00,2025-04-23 14:41:00,2025-04-23 15:00:00,62.74,62.07,62.88,62.07,stop_loss,-0.67,19
25,short,resistance,642,2025-04-21 15:30:00,2025-04-24 07:08:00,2025-04-24 07:09:00,62.88,62.92,62.74,62.92,stop_loss,-0.04,1
26,long,support,678,2025-04-22 10:00:00,2025-04-24 07:09:00,2025-04-24 08:29:00,62.93,62.74,63.51,62.74,stop_loss,-0.19,80
27,short,resistance,748,2025-04-23 22:00:00,2025-04-24 08:53:00,2025-04-24 09:01:00,62.54,62.68,62.07,62.68,stop_loss,-0.14,8
28,short,resistance,788,2025-04-24 18:30:00,2025-04-25 07:18:00,2025-04-25 07:19:00,62.88,62.92,62.74,62.92,stop_loss,-0.04,1
29,short,resistance,826,2025-04-25 13:30:00,2025-04-25 17:07:00,2025-04-25 17:24:00,63.3,62.93,62.93,63.35,take_profit,0.37,17
30,short,resistance,801,2025-04-25 01:00:00,2025-04-25 20:37:00,2025-04-27 22:00:00,63.35,63.51,62.93,63.51,stop_loss,-0.16,2963
