trade_id,side,level_id,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl
1,long,7,2024-11-06 10:05:00,2024-11-06 10:06:00,71.4,71.29,71.45,71.29,stop_loss,-0.11
2,short,1,2024-11-06 14:55:00,2024-11-06 14:57:00,71.45,71.29,71.29,71.52,take_profit,0.16
3,short,3,2024-11-06 15:07:00,2024-11-06 15:12:00,71.52,71.64,71.29,71.64,stop_loss,-0.12
4,long,20,2024-11-14 07:01:00,2024-11-14 08:02:00,68.0,68.32,68.32,67.86,take_profit,0.32
5,short,18,2024-11-14 08:02:00,2024-11-14 08:07:00,68.32,68.45,68.06,68.45,stop_loss,-0.13
6,long,22,2024-11-15 08:44:00,2024-11-15 08:50:00,67.98,67.86,68.45,67.86,stop_loss,-0.12
7,long,17,2024-11-15 09:28:00,2024-11-15 09:36:00,68.06,67.86,68.45,67.86,stop_loss,-0.2
8,long,23,2024-11-15 10:54:00,2024-11-15 11:49:00,68.1,68.45,68.45,67.86,take_profit,0.35
9,long,24,2024-11-18 14:17:00,2024-11-18 14:35:00,68.22,68.45,68.45,67.86,take_profit,0.23
10,short,36,2024-11-21 07:00:00,2024-11-21 07:22:00,69.18,69.43,69.16,69.43,stop_loss,-0.25
11,short,32,2024-11-21 07:52:00,2024-11-21 08:50:00,69.43,69.74,69.16,69.74,stop_loss,-0.31
12,short,34,2024-11-21 10:07:00,2024-11-21 10:08:00,69.92,69.96,69.74,69.96,stop_loss,-0.04
13,long,8,2024-11-21 11:43:00,2024-11-21 15:24:00,70.23,69.74,70.56,69.74,stop_loss,-0.49
14,short,37,2024-11-22 07:31:00,2024-11-22 07:33:00,70.38,70.36,70.36,70.56,take_profit,0.02
15,long,0,2024-11-22 07:39:00,2024-11-22 07:42:00,70.48,70.56,70.56,70.36,take_profit,0.08
16,long,6,2024-11-22 18:00:00,2024-11-22 20:29:00,71.29,71.05,71.64,71.05,stop_loss,-0.24
17,short,16,2024-11-25 07:25:00,2024-11-25 07:26:00,70.56,70.58,70.36,70.58,stop_loss,-0.02
18,long,15,2024-11-25 10:45:00,2024-11-25 12:00:00,71.05,71.21,71.21,70.66,take_profit,0.16
19,short,26,2024-11-26 17:12:00,2024-11-26 17:43:00,68.69,68.48,68.48,69.12,take_profit,0.21
20,short,27,2024-11-26 18:20:00,2024-11-26 18:25:00,68.62,68.48,68.48,69.12,take_profit,0.14
21,short,44,2024-11-29 07:13:00,2024-11-29 07:44:00,68.86,68.58,68.58,69.12,take_profit,0.28
22,long,42,2024-11-29 07:44:00,2024-11-29 07:45:00,68.58,68.56,68.79,68.56,stop_loss,-0.02
23,long,47,2024-11-29 07:45:00,2024-11-29 08:00:00,68.56,68.48,68.79,68.48,stop_loss,-0.08
24,short,19,2024-11-29 08:00:00,2024-11-29 08:10:00,68.45,68.79,68.18,68.79,stop_loss,-0.34
25,short,45,2024-11-29 08:15:00,2024-11-29 09:55:00,68.79,68.48,68.48,69.12,take_profit,0.31
26,short,46,2024-11-29 12:50:00,2024-11-29 13:05:00,69.3,69.16,69.16,69.74,take_profit,0.14
