row,level,strength,time,level_type
4,72.95,1.0,2024-09-02 00:00:00,support
22,73.91,1.0,2024-09-02 09:00:00,resistance
37,74.41,1.0,2024-09-02 16:30:00,resistance
68,72.06,1.0,2024-09-03 11:00:00,support
76,70.38,1.5,2024-09-03 15:00:00,support
86,70.43,1.5,2024-09-03 20:00:00,resistance
106,70.11,1.5,2024-09-04 06:30:00,resistance
109,69.19,1.0,2024-09-04 08:00:00,support
133,68.82,1.0,2024-09-04 20:00:00,support
284,69.08,1.0,2024-09-10 01:30:00,resistance
323,66.43,1.0,2024-09-10 21:00:00,resistance
332,65.91,1.0,2024-09-11 02:00:00,support
358,65.63,1.0,2024-09-11 15:00:00,support
368,67.05,1.0,2024-09-11 20:00:00,support
390,68.5,1.0,2024-09-12 07:30:00,resistance
403,67.81,1.0,2024-09-12 14:00:00,support
406,69.81,1.5,2024-09-12 15:30:00,resistance
423,69.24,1.0,2024-09-13 00:30:00,support
425,69.5,1.5,2024-09-13 01:30:00,resistance
442,69.92,1.5,2024-09-13 10:00:00,resistance
459,68.47,1.0,2024-09-13 18:30:00,support
465,69.39,1.0,2024-09-15 22:00:00,resistance
471,68.7,1.0,2024-09-16 01:00:00,support
474,69.0,1.0,2024-09-16 02:30:00,resistance
498,70.7,1.0,2024-09-16 14:30:00,resistance
530,70.75,1.0,2024-09-17 07:00:00,resistance
550,71.92,1.0,2024-09-17 17:00:00,resistance
560,69.91,1.5,2024-09-17 22:30:00,support
583,68.58,1.0,2024-09-18 10:00:00,support
594,70.26,1.5,2024-09-18 15:30:00,resistance
604,68.95,1.0,2024-09-18 20:30:00,support
648,70.96,1.0,2024-09-19 19:00:00,support
653,71.2,1.0,2024-09-19 22:00:00,resistance
662,70.77,1.0,2024-09-20 02:30:00,support
669,70.88,1.0,2024-09-20 06:00:00,support
686,70.37,1.5,2024-09-20 14:30:00,support
707,71.65,1.0,2024-09-23 01:30:00,resistance
715,71.68,1.0,2024-09-23 05:30:00,resistance
719,70.71,1.0,2024-09-23 07:30:00,support
728,71.45,1.0,2024-09-23 12:00:00,resistance
737,69.49,1.0,2024-09-23 16:30:00,support
772,72.36,1.0,2024-09-24 10:30:00,resistance
849,70.01,1.5,2024-09-26 02:00:00,resistance
866,68.76,1.0,2024-09-26 10:30:00,resistance
881,67.29,1.0,2024-09-26 18:00:00,support
916,68.02,1.0,2024-09-27 12:00:00,resistance
941,68.98,1.0,2024-09-30 01:00:00,resistance
963,67.57,1.0,2024-09-30 12:00:00,support
966,68.53,1.0,2024-09-30 13:30:00,resistance
15,72.49,1.0,2024-10-02 11:00:00,resistance
19,71.65,1.0,2024-10-02 13:00:00,support
25,69.87,1.5,2024-10-02 16:00:00,support
34,71.05,1.0,2024-10-02 20:30:00,resistance
69,73.95,1.0,2024-10-03 14:30:00,resistance
80,74.09,1.0,2024-10-03 20:00:00,resistance
104,74.54,1.25,2024-10-04 08:30:00,resistance
167,77.22,1.0,2024-10-07 16:30:00,resistance
234,73.53,1.0,2024-10-09 03:00:00,support
240,74.26,1.0,2024-10-09 06:00:00,resistance
257,71.53,1.0,2024-10-09 14:30:00,support
261,73.48,1.0,2024-10-09 16:30:00,resistance
287,73.93,1.0,2024-10-10 06:00:00,resistance
297,74.57,1.25,2024-10-10 11:00:00,resistance
311,76.22,1.0,2024-10-10 18:00:00,resistance
325,75.35,1.25,2024-10-11 01:30:00,support
337,74.53,1.25,2024-10-11 07:30:00,support
424,71.84,1.0,2024-10-15 04:00:00,resistance
437,69.71,1.5,2024-10-15 10:30:00,support
450,70.73,1.0,2024-10-15 17:00:00,resistance
494,69.64,1.5,2024-10-16 15:30:00,support
498,70.7,1.0,2024-10-16 17:30:00,resistance
541,70.99,1.0,2024-10-17 15:30:00,resistance
574,69.99,1.5,2024-10-18 08:30:00,support
614,69.21,1.0,2024-10-21 05:00:00,resistance
628,70.35,1.5,2024-10-21 12:00:00,resistance
646,69.75,1.5,2024-10-21 21:00:00,support
658,69.93,1.5,2024-10-22 03:30:00,resistance
663,69.65,1.5,2024-10-22 06:00:00,support
678,70.38,1.5,2024-10-22 13:30:00,support
721,70.13,1.5,2024-10-23 11:30:00,support
727,71.49,1.0,2024-10-23 14:30:00,resistance
752,71.8,1.0,2024-10-24 03:30:00,resistance
785,70.55,1.0,2024-10-24 20:00:00,resistance
820,71.4,1.0,2024-10-25 14:00:00,resistance
841,68.88,1.0,2024-10-28 01:00:00,resistance
866,66.92,1.0,2024-10-28 13:30:00,support
890,67.62,1.0,2024-10-29 02:00:00,support
894,67.38,1.0,2024-10-29 04:00:00,support
900,67.19,1.0,2024-10-29 07:00:00,support
969,68.25,1.0,2024-10-30 18:00:00,support
975,69.17,1.0,2024-10-30 21:00:00,resistance
984,68.77,1.0,2024-10-31 02:00:00,support
997,68.3,1.0,2024-10-31 08:30:00,support
1015,68.92,1.0,2024-10-31 17:30:00,support
1019,70.81,1.0,2024-10-31 19:30:00,resistance
