trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,long,2024-10-01 07:13:00,2024-10-01 08:05:00,67.69,67.17,68.5967,67.17,stop_loss,-0.52,support,2
2,long,2024-10-01 08:06:00,2024-10-01 13:34:00,67.17,68.5967,68.5967,65.77,take_profit,1.4267,support,2
3,short,2024-10-01 13:35:00,2024-10-01 13:36:00,68.5967,69.02,65.77,69.02,stop_loss,-0.4233,resistance,3
4,short,2024-10-01 13:37:00,2024-10-01 13:39:00,69.445,69.02,69.02,69.9625,take_profit,0.425,resistance,2
5,short,2024-10-01 13:50:00,2024-10-01 13:54:00,69.9625,70.345,69.02,70.345,stop_loss,-0.3825,resistance,4
6,short,2024-10-01 15:39:00,2024-10-01 17:05:00,71.325,71.75,69.02,71.75,stop_loss,-0.425,resistance,2
7,short,2024-10-03 09:40:00,2024-10-03 14:13:00,71.75,72.425,70.5575,72.425,stop_loss,-0.675,resistance,3
8,long,2024-10-16 15:22:00,2024-10-18 13:17:00,69.69,68.99,71.325,68.99,stop_loss,-0.7,support,3
9,short,2024-10-22 09:13:00,2024-10-22 09:31:00,70.18,70.8675,69.095,70.8675,stop_loss,-0.6875,resistance,2
10,short,2024-10-22 10:50:00,2024-10-22 13:55:00,70.8675,71.59,69.095,71.59,stop_loss,-0.7225,resistance,4
11,short,2024-10-22 13:56:00,2024-10-27 22:00:00,71.655,69.095,69.095,72.425,take_profit,2.56,resistance,4
12,short,2024-10-30 12:28:00,2024-10-30 15:27:00,68.705,69.095,67.5233,69.095,stop_loss,-0.39,resistance,2
13,short,2024-10-30 15:28:00,2024-10-31 15:25:00,69.095,69.7683,67.5233,69.7683,stop_loss,-0.6733,resistance,2
