trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,dataset_month
1,long,2024-08-22 14:51:00,2024-08-23 09:12:00,73.01,73.81,73.81,,take_profit,0.8,support,0,1,2024-08
2,short,2024-08-27 15:17:00,2024-08-28 08:22:00,75.87,75.07,75.07,,take_profit,0.8,resistance,0,1,2024-08
3,long,2024-08-29 12:48:00,2024-08-29 13:29:00,75.26,76.06,76.06,,take_profit,0.8,support,0,1,2024-08
1,long,2024-09-03 09:21:00,2024-10-03 14:13:00,72.922,72.922,72.922,,take_profit,0.0,support,0,2,2024-09
2,long,2024-09-03 13:08:00,2024-10-04 16:51:00,71.52,75.26,75.26,,take_profit,3.74,support,0,3,2024-09
3,long,2024-09-05 16:12:00,2024-10-03 14:13:00,69.005,72.922,72.922,,take_profit,3.917,support,0,3,2024-09
4,long,2024-09-12 14:56:00,2024-09-17 16:14:00,69.005,71.52,71.52,,take_profit,2.515,support,0,2,2024-09
5,long,2024-09-18 08:38:00,2024-09-18 14:34:00,69.215,70.015,70.015,,take_profit,0.8,support,0,1,2024-09
6,long,2024-09-18 09:59:00,2024-09-18 11:38:00,68.6633,69.215,69.215,,take_profit,0.5517,support,0,2,2024-09
7,short,2024-09-24 07:13:00,2024-09-24 14:37:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,2,2024-09
8,short,2024-09-24 08:40:00,2024-09-25 11:51:00,71.75,70.6267,70.6267,,take_profit,1.1233,resistance,0,3,2024-09
9,short,2024-09-25 07:00:00,2024-09-25 11:51:00,71.325,70.6267,70.6267,,take_profit,0.6983,resistance,0,2,2024-09
10,short,2024-09-25 11:29:00,2024-09-25 16:19:00,70.6267,69.8267,69.8267,,take_profit,0.8,resistance,0,1,2024-09
11,long,2024-09-26 09:43:00,2024-09-30 05:53:00,68.6425,69.1267,69.1267,,take_profit,0.4842,support,0,2,2024-09
1,long,2024-10-01 07:13:00,2024-10-01 13:34:00,67.69,68.49,68.49,,take_profit,0.8,support,0,1,2024-10
2,long,2024-10-01 08:06:00,2024-10-01 10:17:00,67.17,67.69,67.69,,take_profit,0.52,support,0,2,2024-10
3,short,2024-10-01 15:00:00,2024-10-01 17:33:00,70.725,70.725,70.725,,take_profit,-0.0,resistance,0,1,2024-10
4,short,2024-10-01 15:39:00,2024-10-01 15:51:00,71.325,70.725,70.725,,take_profit,0.6,resistance,0,2,2024-10
5,short,2024-10-01 17:05:00,2024-10-01 17:33:00,71.75,70.725,70.725,,take_profit,1.025,resistance,0,3,2024-10
6,short,2024-10-02 07:06:00,2024-10-02 08:05:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,2,2024-10
7,short,2024-10-02 07:31:00,2024-10-02 15:05:00,71.75,70.725,70.725,,take_profit,1.025,resistance,0,3,2024-10
8,short,2024-10-02 15:04:00,2024-10-02 16:00:00,70.725,69.925,69.925,,take_profit,0.8,resistance,0,1,2024-10
9,short,2024-10-03 07:10:00,2024-10-15 05:06:00,71.325,71.325,71.325,,take_profit,-0.0,resistance,0,1,2024-10
10,short,2024-10-03 09:40:00,2024-10-03 11:27:00,71.75,71.325,71.325,,take_profit,0.425,resistance,0,2,2024-10
11,short,2024-10-03 14:13:00,2024-10-15 05:06:00,72.425,71.325,71.325,,take_profit,1.1,resistance,0,3,2024-10
12,short,2024-10-08 14:05:00,2024-10-09 14:20:00,74.02,71.75,71.75,,take_profit,2.27,resistance,0,3,2024-10
13,short,2024-10-09 07:15:00,2024-10-09 14:20:00,74.02,71.75,71.75,,take_profit,2.27,resistance,0,3,2024-10
14,short,2024-10-09 13:13:00,2024-10-09 14:20:00,72.425,71.75,71.75,,take_profit,0.675,resistance,0,2,2024-10
15,short,2024-10-09 14:20:00,2024-10-15 05:16:00,71.75,70.95,70.95,,take_profit,0.8,resistance,0,1,2024-10
16,short,2024-10-10 09:05:00,2024-10-14 22:00:00,74.1,71.75,71.75,,take_profit,2.35,resistance,0,3,2024-10
17,long,2024-10-16 15:22:00,2024-10-16 16:01:00,69.69,70.49,70.49,,take_profit,0.8,support,0,1,2024-10
18,long,2024-10-17 17:06:00,2024-10-17 18:12:00,69.6775,70.4775,70.4775,,take_profit,0.8,support,0,1,2024-10
19,long,2024-10-22 07:02:00,2024-10-22 13:55:00,69.692,71.59,71.59,,take_profit,1.898,support,0,2,2024-10
20,long,2024-10-22 13:55:00,2024-11-04 11:16:00,71.59,71.59,71.59,,take_profit,0.0,support,0,1,2024-10
21,long,2024-10-23 11:20:00,2024-10-23 13:09:00,70.185,70.985,70.985,,take_profit,0.8,support,0,1,2024-10
22,long,2024-10-24 14:48:00,2024-10-25 12:44:00,70.255,71.055,71.055,,take_profit,0.8,support,0,1,2024-10
1,short,2024-11-05 07:17:00,2024-11-06 05:53:00,71.55,70.9,70.9,,take_profit,0.65,resistance,0,2,2024-11
2,short,2024-11-06 07:01:00,2024-11-06 13:06:00,70.9,70.1,70.1,,take_profit,0.8,resistance,0,1,2024-11
3,short,2024-11-06 15:07:00,2024-11-07 11:22:00,71.55,70.9,70.9,,take_profit,0.65,resistance,0,2,2024-11
4,short,2024-11-07 07:46:00,2024-11-07 11:22:00,71.55,70.9,70.9,,take_profit,0.65,resistance,0,2,2024-11
5,short,2024-11-07 11:15:00,2024-11-08 16:28:00,70.9,70.1,70.1,,take_profit,0.8,resistance,0,1,2024-11
6,long,2024-11-12 07:56:00,2024-11-12 14:19:00,68.2033,69.0033,69.0033,,take_profit,0.8,support,0,1,2024-11
7,long,2024-11-13 07:26:00,2024-11-13 16:08:00,68.2033,68.2033,68.2033,,take_profit,0.0,support,0,1,2024-11
8,long,2024-11-13 14:06:00,2024-11-13 15:17:00,67.5,67.5,67.5,,take_profit,0.0,support,0,2,2024-11
9,long,2024-11-13 15:00:00,2024-11-13 16:08:00,67.055,68.2033,68.2033,,take_profit,1.1483,support,0,3,2024-11
10,long,2024-11-14 07:11:00,2024-11-14 11:41:00,68.0425,68.8425,68.8425,,take_profit,0.8,support,0,1,2024-11
11,short,2024-11-19 07:06:00,2024-11-26 17:59:00,69.0867,68.2867,68.2867,,take_profit,0.8,resistance,0,1,2024-11
